"","config","time1","time2","time3","tp1","tp2","tp3","fp1","fp2","fp3","completed1","completed2","completed3","time","tp","fp","completed","apicalldepth","kobjsens","pta","analyzestrings_unfiltered","filetransforms","ignoreexceptionflows","ignorenocontextflows","implicitflow","imprecisestrings","limitcontextforcomplex","limitcontextforgui","limitcontextforstrings","multipassfb","noarrayindex","noclinitcontext","noclonestatics","nofallback","nojsa","noscalaropts","nova","preciseinfoflow","transfertaintfield","typesforcontext"
"29","config_DroidSafe_34.xml",75590561.634802,74395651.0905017,78265039.2055719,0,0,0,0,0,0,20,20,20,75590561.634802,0,0,20,90,18,"geo",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"30","config_DroidSafe_35.xml",44593705.4146551,44539519.6705488,45544319.925465,0,0,0,0,0,0,24,24,24,44593705.4146551,0,0,24,100,1,"paddle",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"31","config_DroidSafe_36.xml",140870205.957414,129660249.436342,123145882.38719,0,0,0,0,0,0,17,18,18,129660249.436342,0,0,18,100,2,"geo",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"32","config_DroidSafe_37.xml",157315398.298776,126023416.421171,153339473.734279,0,0,0,8,8,8,20,20,18,153339473.734279,0,8,20,100,3,"spark",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"33","config_DroidSafe_38.xml",173607979.996786,135080865.444627,183589892.69793,0,0,0,0,0,0,15,18,12,173607979.996786,0,0,15,100,4,"geo",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"34","config_DroidSafe_39.xml",110817107.015437,101637447.446298,112408600.186103,0,0,0,0,0,0,17,18,17,110817107.015437,0,0,17,100,5,"geo",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"35","config_DroidSafe_4.xml",99212829.6843439,99719756.8893432,109073564.307665,0,0,0,0,0,0,19,19,18,99719756.8893432,0,0,19,0,5,"geo",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"36","config_DroidSafe_40.xml",120571429.463618,106005371.976902,130860897.567947,9,9,9,66,66,66,16,17,16,120571429.463618,9,66,16,100,6,"spark",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"37","config_DroidSafe_41.xml",150274180.940581,105439143.364256,140513392.918704,0,0,0,0,0,0,19,20,20,140513392.918704,0,0,20,100,18,"spark",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"38","config_DroidSafe_42.xml",49309545.1047427,46031090.6803235,52975337.156049,0,0,0,0,0,0,24,24,24,49309545.1047427,0,0,24,110,1,"paddle",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"39","config_DroidSafe_43.xml",161009471.730984,119093460.54271,181323346.910208,0,0,0,0,0,0,17,19,12,161009471.730984,0,0,17,110,2,"geo",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
